"Reference","Value","Datasheet","Footprint","Qty","DNP","Part Number"
"C1,C15","0.1uF","https://www.digikey.ca/en/products/detail/kyocera-avx/0805ZD104KAT2A/1603455","Capacitor_SMD:C_0805_2012Metric","2","","0805ZD104KAT2A"
"C2","0.33uF","https://www.digikey.ca/en/products/detail/murata-electronics/GRM219R71H334KA88D/702591","Capacitor_SMD:C_0805_2012Metric","1","","GRM219R71H334KA88D"
"C3,C4,C5","1uF","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21B105KBFNFNE/3891014","Capacitor_SMD:C_0805_2012Metric","3","","CL21B105KBFNFNE"
"C6,C7,C8","1uF","https://www.digikey.ca/en/products/detail/tdk-corporation/CGA6M2X7R2A105K200AA/2443343","Capacitor_SMD:C_1210_3225Metric","3","","CGA6M2X7R2A105K200AA"
"C9,C10","330 µF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","EEV_FK2A331M:CAP_EEVFK2A331M","2","","EEVFK2A331M"
"C11,C12,C13,C14","220nF","~","Capacitor_SMD:C_0603_1608Metric","4","","CL21B224KAFNNNE"
"C21,C23,C24","47nF","","Capacitor_SMD:C_0805_2012Metric","3","","C0805C473K5RACTU"
"C28","0.1uF","https://www.digikey.ca/en/products/detail/yageo/CC0805KRX7R9BB104/302874","Capacitor_SMD:C_0805_2012Metric","1","","CC0805KRX7R9BB104"
"CR1,CR2,CR3","~","BAV20WS-TP","BAV20WS-TP:CR_SOD-323_MCC","3","","BAV20WS-TP"
"CR4","LD1085D2M33R","","LD1085D2M33R:D2PAK&slash_A_STM","1","","LD1085D2M33R"
"F1,F2,F3,F4","250V 30A","0463030.ER","0463030_ER:FUSE_0463_LTF-M","4","","0463030.ER"
"J1,J2,J7,J8","1714971","","1714971:PHOENIX_1714971","4","","1714971"
"J3","1714968","","PHOENIX_1714968:PHOENIX_1714968","1","","1714968"
"J4,J5,J9,J10","10897202","10897202","CONN20_0010897202_MOL","4","","10897202"
"J6","1989764","~","PHOENIX_1989764:PHOENIX_1989764","1","","1989764"
"K2","1-1393210-3","","T9AS1D12_12:TE_1-1393210-3","1","","T9AS1D12-12"
"Q1,Q2,Q3,Q4,Q5,Q6","CSD19532Q5B","","CSD19532Q5B:TRANS_CSD19532Q5B","6","","CSD19532Q5B"
"R1,R2,R3,R4,R6,R7","15R","https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ150V/82975?s=N4IgTCBcDaIKICUBSBaAbAcTgTSQRgFYAGANRAF0BfIA","Resistor_SMD:R_0805_2012Metric","6","","ERJ-6GEYJ150V"
"R5,R8,R9,R18","10k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric","4","","ERA-6AEB103V"
"R10,R11,R12,R13,R14,R15,R16,R17","4.7K","~","Resistor_SMD:R_0805_2012Metric","8","","CRCW08054K70FKEAC"
"R32,R35,R36","220R","","Resistor_SMD:R_0805_2012Metric","3","","CRGCQ0805F220R"
"R43","97.6K","https://www.digikey.ca/en/products/detail/yageo/RC0805FR-0797K6L/728213","Resistor_SMD:R_0805_2012Metric","1","","RC0805FR-0797K6L"
"R44,R45,R46,R47,R48","3K","https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRG0805F3K0/2380900","Resistor_SMD:R_0805_2012Metric","5","","CRG0805F3K0"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9","5002","","5002:KEYSTONE_5002","9","","5002"
"U1","DRV8300DIPWR","DRV8300DIPWR","DRV8300DIPWR:TSSOP_0DIPWR_TEX","1","","DRV8300DIPWR"
"U2,U3,U4","TLI4971A050T5E0001XUMA1","TLI4971A050T5E0001XUMA1","TLI4971A:IC_TLI4971A050T5UE0001XUMA1","3","","TLI4971A050T5E0001XUMA1"
"U5","LAUNCHXL-F280049C","","LAUNCHXL-F280049C:MODULE_LAUNCHXL-F280049C","1","","LAUNCHXL-F280049C"
"U6","OP292GSZ-REEL","OP292GSZ-REEL","R_8_ADI","1","","OP292GSZ-REEL"
