"Reference","Value","Datasheet","Footprint","Qty","DNP","Part Number"
"C1,C2","330 µF","https://industrial.panasonic.com/cdbs/www-data/pdf/RDE0000/ABA0000C1181.pdf","EEV_FK2A331M:CAP_EEVFK2A331M","2","","EEVFK2A331M"
"C3","0.1uF","https://www.digikey.ca/en/products/detail/yageo/CC0805KRX7R9BB104/302874","Capacitor_SMD:C_0805_2012Metric","1","","CC0805KRX7R9BB104"
"C4,C5,C6","1uF","https://www.digikey.ca/en/products/detail/samsung-electro-mechanics/CL21B105KBFNFNE/3891014","Capacitor_SMD:C_0805_2012Metric","3","","CL21B105KBFNFNE"
"C7,C8,C9","1uF","https://www.digikey.ca/en/products/detail/tdk-corporation/CGA6M2X7R2A105K200AA/2443343","Capacitor_SMD:C_1210_3225Metric","3","","CGA6M2X7R2A105K200AA"
"C10,C11,C12,C13,C27","220nF","~","Capacitor_SMD:C_0603_1608Metric","5","","CL21B224KAFNNNE"
"C14,C15,C16","47nF","","Capacitor_SMD:C_0805_2012Metric","3","","C0805C473K5RACTU"
"C17,C24,C25","0.1uF","https://www.digikey.ca/en/products/detail/kyocera-avx/0805ZD104KAT2A/1603455","Capacitor_SMD:C_0805_2012Metric","3","","0805ZD104KAT2A"
"C19,C20","0.33uF","https://www.digikey.ca/en/products/detail/murata-electronics/GRM219R71H334KA88D/702591","Capacitor_SMD:C_0805_2012Metric","2","","GRM219R71H334KA88D"
"CR1,CR2,CR3","~","BAV20WS-TP","BAV20WS-TP:CR_SOD-323_MCC","3","","BAV20WS-TP"
"CR4","LD1085D2M33R","https://www.st.com/content/ccc/resource/technical/document/datasheet/d3/84/d5/f6/3c/23/40/7b/CD00001883.pdf/files/CD00001883.pdf/jcr:content/translations/en.CD00001883.pdf","LD1085D2M33R:D2PAK&slash_A_STM","1","","LD1085D2M33R"
"D10,D11,D12,D13,D14","100V IN,12V,3.3V,5V,BRIDGE ON","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/3739/B1931UY--20D000114U1930.pdf","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder","5","","B1931UY--20D000114U1930"
"F1,F2,F3,F4","100VDC 50A,250VAC 50A","https://www.bourns.com/docs/Product-Datasheets/SF-3812F-T.pdf","0463030_ER:FUSE_0463_LTF-M","4","","SF-3812F5000T-2"
"J1,J8,J9","1990009","","2P term 1990009:PHOENIX_1990009","3","","1990009"
"J2,J3,J4,J5","10897202","10897202","CONN20_0010897202_MOL","4","","10897202"
"J6,J10,J11","1990041","","PHOENIX_1990041:PHOENIX_1990041","3","","1990041"
"J7","1714971","","1714971:PHOENIX_1714971","1","","1714971"
"K1","1-1393210-3","https://www.te.com/en/product-1-1393210-3.datasheet.pdf","T9AS1D12_12:TE_1-1393210-3","1","","1-1393210-3"
"MP1,MP2,MP3,MP4,MP5","7461383","7461383","M5 Screw Term 7461383:WP-SHFU_7461383","5","","7461383"
"Q1,Q2,Q3,Q4,Q5,Q6","IRFB4115PBF","https://www.infineon.com/dgdl/irfb4115pbf.pdf?fileId=5546d462533600a401535615ba6a1e0f","Package_TO_SOT_THT:TO-220-3_Vertical","6","","IRFB4115PBF"
"R1","97.6K","https://www.digikey.ca/en/products/detail/yageo/RC0805FR-0797K6L/728213","Resistor_SMD:R_0805_2012Metric","1","","RC0805FR-0797K6L"
"R2,R22,R23,R26,R28","3K","https://www.digikey.ca/en/products/detail/te-connectivity-passive-product/CRG0805F3K0/2380900","Resistor_SMD:R_0805_2012Metric","5","","CRG0805F3K0"
"R3,R4,R5,R6,R7,R8","15R","https://www.digikey.ca/en/products/detail/panasonic-electronic-components/ERJ-6GEYJ150V/82975?s=N4IgTCBcDaIKICUBSBaAbAcTgTSQRgFYAGANRAF0BfIA","Resistor_SMD:R_0805_2012Metric","6","","ERJ-6GEYJ150V"
"R9,R10,R11,R12,R13,R14,R15,R16","4.7K","~","Resistor_SMD:R_0805_2012Metric","8","","CRCW08054K70FKEAC"
"R17,R18,R19,R33,R34,R35,R36,R37","220R","CRGCQ0805F220R","Resistor_SMD:R_0805_2012Metric","8","","CRGCQ0805F220R"
"R20","5.36k","https://www.yageo.com/upload/media/product/products/datasheet/rchip/PYu-RC_Group_51_RoHS_L_12.pdf","Resistor_SMD:R_0805_2012Metric","1","","RC0805FR-075K36L"
"R21,R24,R25,R27","10k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf","Resistor_SMD:R_0805_2012Metric","4","","ERA-6AEB103V"
"R49,R50,R51,R52","2.7k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDO0000/AOA0000C331.pdf","Resistor_SMD:R_0805_2012Metric","4","","ERJ-P06J272V"
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9","5002","","5002:KEYSTONE_5002","9","","5002"
"U1","DRV8300DIPWR","https://www.ti.com/lit/ds/symlink/drv8300.pdf","DRV8300DIPWR:TSSOP_0DIPWR_TEX","1","","DRV8300DIPWR"
"U2","LAUNCHXL-F280049C","https://www.ti.com/lit/ug/spruii7b/spruii7b.pdf?ts=1748422871760","LAUNCHXL-F280049C:MODULE_LAUNCHXL-F280049C","1","","LAUNCHXL-F280049C"
"U3,U4,U5","TLI4971A050T5E0001XUMA1","https://www.infineon.com/dgdl/Infineon-TLI4971_25_50_75_120-DataSheet-v01_20-EN.pdf?fileId=5546d462700c0ae6017034d731621b09","TLI4971A:TLI4971A050T5UE0001XUMA1","3","","TLI4971A050T5E0001XUMA1"
"U6","OP292GSZ-REEL","https://www.analog.com/media/en/technical-documentation/data-sheets/OP292_492.pdf","R_8_ADI","1","","OP292GSZ-REEL"
"U7","L78M05CDT-TR","L78M05CDT-TR","L78M05CDT_TR:DPAK_STM-M","1","","L78M05CDT-TR"
