Reference,Value,Qty,Part Number
"C1,C15,C28",0.1uF,3,"0805ZD104KAT2A,CC0805KRX7R9BB104"
C2,0.33uF,1,GRM219R71H334KA88D
"C3,C4,C5,C6,C7,C8",1uF,6,"CGA6M2X7R2A105K200AA,CL21B105KBFNFNE"
"C9,C10",330 µF,2,EEVFK2A331M
"C11,C12,C13,C14",220nF,4,CL21B224KAFNNNE
"C21,C23,C24",47nF,3,C0805C473K5RACTU
"CR1,CR2,CR3",~,3,BAV20WS-TP
CR4,LD1085D2M33R,1,LD1085D2M33R
"F1,F2,F3,F4",250V 30A,4,0463030.ER
"J1,J2,J7,J8",1714971,4,1714971
J3,1714968,1,1714968
"J4,J5,J9,J10",10897202,4,10897202
J6,1989764,1,1989764
K2,1-1393210-3,1,1-1393210-3
"Q1,Q2,Q3,Q4,Q5,Q6",CSD19532Q5B,6,CSD19532Q5B
"R1,R2,R3,R4,R6,R7",15R,6,ERJ-6GEYJ150V
"R5,R8,R9,R18",10k,4,ERA-6AEB103V
"R10,R11,R12,R13,R14,R15,R16,R17",4.7K,8,CRCW08054K70FKEAC
"R32,R35,R36",220R,3,CRGCQ0805F220R
R43,97.6K,1,RC0805FR-0797K6L
"R44,R45,R46,R47,R48",3K,5,CRG0805F3K0
"TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9",5002,9,5002
U1,DRV8300DIPWR,1,DRV8300DIPWR
"U2,U3,U4",TLI4971A050T5E0001XUMA1,3,TLI4971A050T5E0001XUMA1
U5,LAUNCHXL-F280049C,1,LAUNCHXL-F280049C
U6,OP292GSZ-REEL,1,OP292GSZ-REEL
